equipo,puntos,pj,pg,pe,pp,gf,gc,yc,rc
Vélez Sarsfield,51,27,14,9,4,38,16,57,5
Talleres de Córdoba,48,27,13,9,5,34,27,72,4
Racing Club,46,27,14,4,9,42,30,62,2
Huracán,46,27,12,10,5,28,18,62,3
River Plate,43,27,11,10,6,38,21,71,2
Boca Juniors,42,27,11,9,7,30,23,76,6
Independiente,40,27,9,13,5,25,17,88,7
Unión de Santa Fe,40,27,11,7,9,27,26,63,4
Atlético Tucumán,40,27,11,7,9,28,27,57,3
Platense,39,27,10,9,8,20,18,71,4
Independiente Rivadavia,38,27,10,8,9,23,25,68,3
Estudiantes de La Plata,36,27,8,12,7,36,34,65,1
Instituto de Córdoba,36,27,10,6,11,32,31,63,4
Lanús,36,27,8,12,7,28,31,52,6
Godoy Cruz,35,27,8,11,8,31,28,58,1
Belgrano,35,27,8,11,8,33,32,74,4
Riestra,35,27,8,11,8,26,27,65,5
Tigre,34,27,8,10,9,27,30,49,1
Gimnasia de La Plata,32,27,8,8,11,21,23,65,7
Rosario Central,32,27,8,8,11,27,30,90,2
Defensa y Justicia,32,27,7,11,9,27,33,73,6
Central Córdoba,31,27,8,7,12,29,36,59,4
Argentinos Juniors,30,27,8,6,13,22,28,66,7
San Lorenzo,29,27,7,8,12,20,26,57,3
Newell's Old Boys,28,27,7,7,13,22,35,77,3
Sarmiento,26,27,5,11,11,18,28,64,2
Banfield,24,27,5,9,13,22,36,70,6
Barracas Central,23,27,4,11,12,15,33,55,2
